Field;Tank;Reservoir;Neighb;Parameter;Date;Init_value;Min_value;Max_value;alpha;Calc_value
Oilfield;AQ;Carbonate;AQ;Boi;01.12.2016;1.013;0.0;0.0;;1.013
Oilfield;W1;Carbonate;W1;Boi;01.12.2016;1.013;0.0;0.0;;1.013
Oilfield;W2;Carbonate;W2;Boi;01.12.2016;1.013;0.0;0.0;;1.013
Oilfield;W3;Carbonate;W3;Boi;01.12.2016;1.013;0.0;0.0;;1.013
Oilfield;W4;Carbonate;W4;Boi;01.12.2016;1.013;0.0;0.0;;1.013
Oilfield;W5;Carbonate;W5;Boi;01.12.2016;1.013;0.0;0.0;;1.013
Oilfield;W6;Carbonate;W6;Boi;01.12.2016;1.013;0.0;0.0;;1.013
Oilfield;W7;Carbonate;W7;Boi;01.12.2016;1.013;0.0;0.0;;1.013
Oilfield;W8;Carbonate;W8;Boi;01.12.2016;1.013;0.0;0.0;;1.013
Oilfield;W9;Carbonate;W9;Boi;01.12.2016;1.013;0.0;0.0;;1.013
Oilfield;AQ;Carbonate;AQ;Bwi;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W1;Carbonate;W1;Bwi;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W2;Carbonate;W2;Bwi;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W3;Carbonate;W3;Bwi;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W4;Carbonate;W4;Bwi;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W5;Carbonate;W5;Bwi;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W6;Carbonate;W6;Bwi;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W7;Carbonate;W7;Bwi;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W8;Carbonate;W8;Bwi;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W9;Carbonate;W9;Bwi;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;AQ;Carbonate;AQ;Prod_index;01.12.2016;1.0;0.001;1.0;;1.0
Oilfield;W1;Carbonate;W1;Prod_index;01.12.2016;1.0;0.001;1.0;;0.6162857334151497
Oilfield;W2;Carbonate;W2;Prod_index;01.12.2016;1.0;0.001;1.0;;0.30931380030445876
Oilfield;W2;Carbonate;W2;Prod_index;01.11.2021;1.0;0.001;1.0;;0.6972623407987735
Oilfield;W3;Carbonate;W3;Prod_index;01.12.2016;1.0;0.001;1.0;;0.4468231836781651
Oilfield;W4;Carbonate;W4;Prod_index;01.12.2016;1.0;0.001;1.0;;1.0
Oilfield;W5;Carbonate;W5;Prod_index;01.12.2016;1.0;0.001;1.0;;1.0
Oilfield;W5;Carbonate;W5;Prod_index;01.03.2020;1.0;0.001;1.0;;0.1902529812876841
Oilfield;W6;Carbonate;W6;Prod_index;01.12.2016;1.0;0.001;1.0;;0.44611105965022185
Oilfield;W7;Carbonate;W7;Prod_index;01.12.2016;1.0;0.001;1.0;;0.2974835790213985
Oilfield;W8;Carbonate;W8;Prod_index;01.12.2016;1.0;0.001;1.0;;0.9459937468123438
Oilfield;W9;Carbonate;W9;Prod_index;01.12.2016;1.0;0.001;1.0;;0.7755539574399483
Oilfield;AQ;Carbonate;AQ;Pi;01.12.2016;166.2;0.0;0.0;;166.2
Oilfield;W1;Carbonate;W1;Pi;01.12.2016;166.2;0.0;0.0;;166.2
Oilfield;W2;Carbonate;W2;Pi;01.12.2016;166.2;0.0;0.0;;166.2
Oilfield;W3;Carbonate;W3;Pi;01.12.2016;166.2;0.0;0.0;;166.2
Oilfield;W4;Carbonate;W4;Pi;01.12.2016;166.2;0.0;0.0;;166.2
Oilfield;W5;Carbonate;W5;Pi;01.12.2016;166.2;0.0;0.0;;166.2
Oilfield;W6;Carbonate;W6;Pi;01.12.2016;166.2;0.0;0.0;;166.2
Oilfield;W7;Carbonate;W7;Pi;01.12.2016;166.2;0.0;0.0;;166.2
Oilfield;W8;Carbonate;W8;Pi;01.12.2016;166.2;0.0;0.0;;166.2
Oilfield;W9;Carbonate;W9;Pi;01.12.2016;166.2;0.0;0.0;;166.2
Oilfield;AQ;Carbonate;AQ;Max_Pres;01.12.2016;500.0;0.0;0.0;;500.0
Oilfield;W1;Carbonate;W1;Max_Pres;01.12.2016;500.0;0.0;0.0;;500.0
Oilfield;W2;Carbonate;W2;Max_Pres;01.12.2016;500.0;0.0;0.0;;500.0
Oilfield;W3;Carbonate;W3;Max_Pres;01.12.2016;500.0;0.0;0.0;;500.0
Oilfield;W4;Carbonate;W4;Max_Pres;01.12.2016;500.0;0.0;0.0;;500.0
Oilfield;W5;Carbonate;W5;Max_Pres;01.12.2016;500.0;0.0;0.0;;500.0
Oilfield;W6;Carbonate;W6;Max_Pres;01.12.2016;500.0;0.0;0.0;;500.0
Oilfield;W7;Carbonate;W7;Max_Pres;01.12.2016;500.0;0.0;0.0;;500.0
Oilfield;W8;Carbonate;W8;Max_Pres;01.12.2016;500.0;0.0;0.0;;500.0
Oilfield;W9;Carbonate;W9;Max_Pres;01.12.2016;500.0;0.0;0.0;;500.0
Oilfield;AQ;Carbonate;AQ;Min_Pres;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W1;Carbonate;W1;Min_Pres;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W2;Carbonate;W2;Min_Pres;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W3;Carbonate;W3;Min_Pres;01.12.2016;1.0;0.0;0.0;;1.0
