Field;Tank;Reservoir;Date;Qoil;Qwat;Qliq;Qinj;Pres;Source_resp;Pbhp_prod;Pbhp_inj;Source_bhp;Wellwork;Wcut;Total_mobility;Wres;Wbhp_prod;Wbhp_inj;Pres_min;Pres_max;Pres_calc;Pbhp_calc;Pinj_calc;Geom_factor;Prod_Index;Inj_index;Frac_inj;Qliq_calc;Qinj_calc
Oilfield;AQ;Carbonate;01.12.2016;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;166.2;166.2;166.2;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.01.2017;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;166.19664135622486;166.19664135622486;166.19664135622486;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.02.2017;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;166.18381697978705;166.18381697978705;166.18381697978705;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.03.2017;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;166.1647667606885;166.1647667606885;166.1647667606885;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.04.2017;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;166.13641796782542;166.13641796782542;166.13641796782542;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.05.2017;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;166.10332774600602;166.10332774600602;166.10332774600602;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.06.2017;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;166.0637551323591;166.0637551323591;166.0637551323591;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.07.2017;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;166.01150336996062;166.01150336996062;166.01150336996062;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.08.2017;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;165.93617285110565;165.93617285110565;165.93617285110565;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.09.2017;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;165.84410489600285;165.84410489600285;165.84410489600285;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.10.2017;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;165.7431696187298;165.7431696187298;165.7431696187298;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.11.2017;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;165.6289355278144;165.6289355278144;165.6289355278144;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.12.2017;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;165.510600123388;165.510600123388;165.510600123388;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.01.2018;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;165.38173038747402;165.38173038747402;165.38173038747402;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.02.2018;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;165.22515602232838;165.22515602232838;165.22515602232838;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.03.2018;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;165.06202500157858;165.06202500157858;165.06202500157858;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.04.2018;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;164.8688804100467;164.8688804100467;164.8688804100467;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.05.2018;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;164.67819533019693;164.67819533019693;164.67819533019693;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.06.2018;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;164.4777091402354;164.4777091402354;164.4777091402354;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.07.2018;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;164.28192585476148;164.28192585476148;164.28192585476148;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.08.2018;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;164.07801009859034;164.07801009859034;164.07801009859034;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.09.2018;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;163.8728056817242;163.8728056817242;163.8728056817242;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.10.2018;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;163.66676259402124;163.66676259402124;163.66676259402124;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.11.2018;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;163.4480573317803;163.4480573317803;163.4480573317803;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.12.2018;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;163.23273460685581;163.23273460685581;163.23273460685581;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.01.2019;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;163.00709607568942;163.00709607568942;163.00709607568942;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.02.2019;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;162.78248269947937;162.78248269947937;162.78248269947937;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.03.2019;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;162.56041359087993;162.56041359087993;162.56041359087993;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.04.2019;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;162.26244794866088;162.26244794866088;162.26244794866088;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.05.2019;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;161.93965538533413;161.93965538533413;161.93965538533413;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.06.2019;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;161.5822931498538;161.5822931498538;161.5822931498538;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.07.2019;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;161.2239538650079;161.2239538650079;161.2239538650079;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.08.2019;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;160.8431496931259;160.8431496931259;160.8431496931259;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.09.2019;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;160.43702385497085;160.43702385497085;160.43702385497085;1.0;1.0;3.0;1.0;0.0;0.0
Oilfield;AQ;Carbonate;01.10.2019;0.0;0.0;0.0;0.0;;;;;;;1.0;1.0;;;;;;160.02683488816166;160.02683488816166;160.02683488816166;1.0;1.0;3.0;1.0;0.0;0.0
