Field;Tank;Reservoir;Neighb;Parameter;Date;Init_value;Min_value;Max_value;alpha
Oilfield;W2;Carbonate;W1;Tconn;01.12.2016;10;0;300;1
Oilfield;W2;Carbonate;W3;Tconn;01.12.2016;10;0;300;1
Oilfield;W6;Carbonate;W7;Tconn;01.12.2016;10;0;300;1
Oilfield;W6;Carbonate;W8;Tconn;01.12.2016;10;0;300;1
Oilfield;W6;Carbonate;W9;Tconn;01.12.2016;10;0;300;1
Oilfield;W6;Carbonate;W4;Tconn;01.12.2016;10;0;300;1
Oilfield;W6;Carbonate;W5;Tconn;01.12.2016;10;0;300;1
Oilfield;W7;Carbonate;W8;Tconn;01.12.2016;10;0;300;1
Oilfield;W7;Carbonate;W4;Tconn;01.12.2016;10;0;300;1
Oilfield;W8;Carbonate;W9;Tconn;01.12.2016;10;0;300;1
Oilfield;W9;Carbonate;W5;Tconn;01.12.2016;10;0;300;1
Oilfield;W3;Carbonate;W4;Tconn;01.12.2016;10;0;300;1
Oilfield;W3;Carbonate;W5;Tconn;01.12.2016;10;0;300;1
Oilfield;W4;Carbonate;W5;Tconn;01.12.2016;10;0;300;1
Oilfield;W1;Carbonate;AQ;Tconn;01.12.2016;10;0;300;1
Oilfield;W2;Carbonate;AQ;Tconn;01.12.2016;10;0;300;1
Oilfield;W3;Carbonate;AQ;Tconn;01.12.2016;10;0;300;1
Oilfield;W5;Carbonate;AQ;Tconn;01.12.2016;10;0;300;1
Oilfield;W9;Carbonate;AQ;Tconn;01.12.2016;10;0;300;1
Oilfield;W8;Carbonate;AQ;Tconn;01.12.2016;10;0;300;1
Oilfield;W7;Carbonate;AQ;Tconn;01.12.2016;10;0;300;1
Oilfield;W2;Carbonate;;Pi;01.12.2016;166.2;0;0;
Oilfield;W6;Carbonate;;Pi;01.12.2016;166.2;0;0;
Oilfield;W7;Carbonate;;Pi;01.12.2016;166.2;0;0;
Oilfield;W8;Carbonate;;Pi;01.12.2016;166.2;0;0;
Oilfield;W1;Carbonate;;Pi;01.12.2016;166.2;0;0;
Oilfield;W9;Carbonate;;Pi;01.12.2016;166.2;0;0;
Oilfield;W3;Carbonate;;Pi;01.12.2016;166.2;0;0;
Oilfield;W4;Carbonate;;Pi;01.12.2016;166.2;0;0;
Oilfield;W5;Carbonate;;Pi;01.12.2016;166.2;0;0;
Oilfield;W2;Carbonate;;Bwi;01.12.2016;1;0;0;
Oilfield;W6;Carbonate;;Bwi;01.12.2016;1;0;0;
Oilfield;W7;Carbonate;;Bwi;01.12.2016;1;0;0;
Oilfield;W8;Carbonate;;Bwi;01.12.2016;1;0;0;
Oilfield;W1;Carbonate;;Bwi;01.12.2016;1;0;0;
Oilfield;W9;Carbonate;;Bwi;01.12.2016;1;0;0;
Oilfield;W3;Carbonate;;Bwi;01.12.2016;1;0;0;
Oilfield;W4;Carbonate;;Bwi;01.12.2016;1;0;0;
Oilfield;W5;Carbonate;;Bwi;01.12.2016;1;0;0;
Oilfield;W2;Carbonate;;Boi;01.12.2016;1.013;0;0;
Oilfield;W6;Carbonate;;Boi;01.12.2016;1.013;0;0;
Oilfield;W7;Carbonate;;Boi;01.12.2016;1.013;0;0;
Oilfield;W8;Carbonate;;Boi;01.12.2016;1.013;0;0;
Oilfield;W1;Carbonate;;Boi;01.12.2016;1.013;0;0;
Oilfield;W9;Carbonate;;Boi;01.12.2016;1.013;0;0;
Oilfield;W3;Carbonate;;Boi;01.12.2016;1.013;0;0;
